,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
0,520151,Germany,NEW BOAT,Bayliner VR6 CUDDY INBOARD,Bayliner,2023,powerboats,Cabin Cruiser,,6.82,2.45,,1,250.0,184.0,65900,https://www.boat24.com/en/powerboats/bayliner/bayliner-vr6-cuddy-inboard/detail/520151/
1,487909,Italy,USED BOAT,Sunreef 74,Sunreef,2015,sailingboats,Catamaran,GRP,23.0,10.4,2.4,2,240.0,177.0,2700000,https://www.boat24.com/en/sailingboats/sunreef/sunreef-74/detail/487909/
2,542316,Italy,USED BOAT,Beneteau Swift trawler 42,Beneteau,2008,powerboats,Motor Yacht,,12.17,4.2,1.2,2,300.0,221.0,220000,https://www.boat24.com/en/powerboats/beneteau/beneteau-swift-trawler-42/detail/542316/
3,540325,Netherlands,USED BOAT,Motortjalk 18.60,Motortjalk,1916,powerboats,Trawler,Steel,18.6,3.62,1.1,1,160.0,118.0,79500,https://www.boat24.com/en/powerboats/motortjalk-1860/detail/540325/
5,529639,Germany,NEW BOAT,Talamex Aqualine Airdeck QLA350,Talamex,2022,inflatableboats,RIB,PVC,3.5,1.8,,1,,,1149,https://www.boat24.com/en/inflatableboats/talamex/talamex-aqualine-airdeck-qla350/detail/529639/
7,375178,Austria,NEW BOAT,Zodiac Pro 850 Classic NEO,Zodiac,2022,inflatableboats,RIB,Hypalon,8.5,3.0,,1,,,46700,https://www.boat24.com/en/inflatableboats/zodiac/zodiac-pro-850-classic-neo/detail/375178/
8,397327,Switzerland,USED BOAT,Aloa 29,Aloa,1981,sailingboats,Sailing Yacht,GRP,8.9,3.1,1.52,1,19.0,14.0,20298.0,https://www.boat24.com/en/sailingboats/aloa/aloa-29/detail/397327/
9,529969,Poland,NEW BOAT,nan,nan,2023,powerboats,Hardtop,GRP,11.99,4.06,,2,400.0,294.0,806000,https://www.boat24.com/en/powerboats/cranchi/cranchi-m44-ht/detail/529969/
11,3176,,NEW BOAT,Merry Fisher 695,Jeanneau,2019,powerboats,Pilothouse,,6.69,2.54,0.46,1,175.0,,5500,https://www.boat24.com/en/catalog/powerboats/jeanneau/merry-fisher-695/2019/3176/
12,508296,Germany,USED BOAT,Nautica International Nautica 23,Nautica,1978,sailingboats,Keelboat,GRP,7.3,2.3,0.4,1,60.0,44.0,5500,https://www.boat24.com/en/sailingboats/nautica-international-nautica-23/detail/508296/
13,534331,Germany,NEW BOAT,Bavaria S 33 OPEN,Bavaria,2023,powerboats,Motor Yacht,,11.0,3.31,1.26,2,253.0,186.0,256564,https://www.boat24.com/en/powerboats/bavaria/bavaria-s-33-open/detail/534331/
14,513307,Netherlands,USED BOAT,Galon 720,Galon,2001,powerboats,Sloep,GRP,7.2,2.45,0.6,1,24.0,18.0,44500,https://www.boat24.com/en/powerboats/galon-720/detail/513307/
15,541715,Italy,NEW BOAT,Quicksilver 905 WEEKEND,Quicksilver,2023,powerboats,Hardtop,GRP,9.3,2.98,1.0,2,225.0,165.0,152900,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-905-weekend/detail/541715/
