,ID,LOCATION,CONDITION,MODEL,MANUFACTURER,YEAR BUILT,CATEGORY,SUBCATEGORY,MATERIAL,LENGTH (m),BEAM (m),DRAUGHT,NUM_ENGINES,ENGINE_HP,ENGINE_KW,PRICE_EUR,LINK
1,487909,Italy,USED BOAT,Sunreef 74,Sunreef,2015,sailingboats,Catamaran,GRP,23.0,10.4,2.4,2,240.0,177.0,2700000.0,https://www.boat24.com/en/sailingboats/sunreef/sunreef-74/detail/487909/
3,540325,Netherlands,USED BOAT,Motortjalk 18.60,Motortjalk,1916,powerboats,Trawler,Steel,18.6,3.62,1.1,1,160.0,118.0,79500.0,https://www.boat24.com/en/powerboats/motortjalk-1860/detail/540325/
8,397327,Switzerland,USED BOAT,Aloa 29,Aloa,1981,sailingboats,Sailing Yacht,GRP,8.9,3.1,1.52,1,19.0,14.0,20298.0,https://www.boat24.com/en/sailingboats/aloa/aloa-29/detail/397327/
12,508296,Germany,USED BOAT,Nautica International Nautica 23,Nautica,1978,sailingboats,Keelboat,GRP,7.3,2.3,0.4,1,60.0,44.0,5500.0,https://www.boat24.com/en/sailingboats/nautica-international-nautica-23/detail/508296/
14,513307,Netherlands,USED BOAT,Galon 720,Galon,2001,powerboats,Sloep,GRP,7.2,2.45,0.6,1,24.0,18.0,44500.0,https://www.boat24.com/en/powerboats/galon-720/detail/513307/
15,541715,Italy,NEW BOAT,Quicksilver 905 WEEKEND,Quicksilver,2023,powerboats,Hardtop,GRP,9.3,2.98,1.0,2,225.0,165.0,152900.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-905-weekend/detail/541715/
18,301259,Switzerland,USED BOAT,Fairline Mirage 29,Fairline,1979,powerboats,Cabin Cruiser,GRP,9.2,3.09,0.6,1,208.0,153.0,22950.0,https://www.boat24.com/en/powerboats/fairline/fairline-mirage-29/detail/301259/
19,527623,Germany,USED BOAT,Parker 760 quest,Parker,2020,powerboats,Cabin Cruiser,GRP,7.99,2.54,0.9,1,300.0,221.0,76500.0,https://www.boat24.com/en/powerboats/parker/parker-760-quest/detail/527623/
21,519778,Italy,USED BOAT,Four Winns Vista 288,Four,2005,powerboats,Sport Boat,GRP,9.15,2.95,0.8,2,160.0,118.0,65000.0,https://www.boat24.com/en/powerboats/four-winns/four-winns-vista-288/detail/519778/
22,518802,Germany,USED BOAT,Bultjer Botterjacht,Bultjer,1979,sailingboats,Sailing Yacht,Wood,15.5,4.55,1.25,1,105.0,77.0,99000.0,https://www.boat24.com/en/sailingboats/bultjer-botterjacht/detail/518802/
26,426125,Croatia,USED BOAT,Hysucat 28,Hysucat,2019,inflatableboats,RIB,GRP,8.5,2.9,0.42,1,20.0,15.0,65000.0,https://www.boat24.com/en/inflatableboats/hysucat/hysucat-28/detail/426125/
37,499659,Sweden,USED BOAT,nan,nan,1964,powerboats,Classic Power Boat,Wood,7.5,2.2,0.8,1,130.0,96.0,8075.000000000001,https://www.boat24.com/en/powerboats/storebro/storebro-soloe-ruff/detail/499659/
38,538563,Germany,NEW BOAT,Quicksilver Activ 675 Weekend-,Quicksilver,2023,powerboats,Sport Boat,GRP,7.37,2.5,0.48,1,225.0,165.0,82500.0,https://www.boat24.com/en/powerboats/quicksilver/quicksilver-activ-675-weekend-/detail/538563/
44,539484,Italy,USED BOAT,Scand Dynamic 7100 V8,Scand,1987,powerboats,Classic Power Boat,GRP,7.1,2.5,0.45,1,270.0,199.0,19999.0,https://www.boat24.com/en/powerboats/scand/scand-dynamic-7100-v8/detail/539484/
46,527867,Switzerland,USED BOAT,Riva AQUARAMA SPECIAL NR 661,Riva,1976,powerboats,Classic Power Boat,Wood,8.78,2.6,0.9,2,350.0,257.0,900000.0,https://www.boat24.com/en/powerboats/riva/riva-aquarama-special-nr-661/detail/527867/
52,527744,Netherlands,USED BOAT,Varend Woonschip 20 Meter,Varend,1925,powerboats,Houseboat,Steel,19.95,4.19,1.15,1,270.0,199.0,185000.0,https://www.boat24.com/en/powerboats/varend-woonschip-20-meter/detail/527744/
54,439119,Switzerland,NEW BOAT,Regal 2000 ES Hensa Edition,Regal,2023,powerboats,Sport Boat,GRP,6.1,2.5,0.8,1,200.0,147.0,99767.22,https://www.boat24.com/en/powerboats/regal/regal-2000-es-hensa-edition/detail/439119/
56,527915,Switzerland,USED BOAT,nan,nan,1991,powerboats,Motor Yacht,GRP,10.65,3.6,1.25,2,210.0,154.0,51000.0,https://www.boat24.com/en/powerboats/marine-projects/marine-projects-princess-35-fly/detail/527915/
59,542724,France,USED BOAT,Correct Craft super air nautique 230,Correct,2017,powerboats,Sport Boat,GRP,7.04,2.45,0.74,1,450.0,331.0,85000.0,https://www.boat24.com/en/powerboats/correct-craft/correct-craft-super-air-nautique-230/detail/542724/
63,539827,Netherlands,USED BOAT,Koopmans 41,Koopmans,1981,sailingboats,Sailing Yacht,Aluminium,12.45,3.74,2.2,1,72.0,53.0,50000.0,https://www.boat24.com/en/sailingboats/koopmans/koopmans-41/detail/539827/
67,540100,Germany,NEW BOAT,nan,nan,2023,sailingboats,Sailing Yacht,GRP,12.35,3.99,2.14,1,45.0,33.0,342258.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-410/detail/540100/
68,523889,Germany,USED BOAT,Sea Ray 350/370 DA Sundancer,Sea,1991,powerboats,Motor Yacht,GRP,12.08,3.76,0.9,2,440.0,324.0,69000.0,https://www.boat24.com/en/powerboats/sea-ray/sea-ray-350370-da-sundancer/detail/523889/
71,516158,Croatia,USED BOAT,nan,nan,2014,powerboats,Flybridge,GRP,19.82,5.21,1.3,1,20.0,15.0,1390000.0,https://www.boat24.com/en/powerboats/monte-carlo-yachts/monte-carlo-yachts-65/detail/516158/
76,543441,United,NEW BOAT,Sunseeker Manhattan 55,Sunseeker,2023,powerboats,Flybridge,GRP,17.22,4.85,1.37,2,800.0,588.0,229000.0,https://www.boat24.com/en/powerboats/sunseeker/sunseeker-manhattan-55/detail/543441/
78,357957,Italy,USED BOAT,Sangermani - Carlo Sciarelli - ROROLIMA,Sangermani,1984,sailingboats,Sailing Yacht,Wood,14.93,3.73,2.3,4,79.0,58.0,229000.0,https://www.boat24.com/en/sailingboats/sangermani/sangermani--carlo-sciarelli--rorolima/detail/357957/
81,516971,Germany,NEW BOAT,Yamaha YAM310TAf,Yamaha,2022,inflatableboats,Foldable Inflatable Boat,PVC,3.07,1.59,0.2,1,15.0,11.0,5880.0,https://www.boat24.com/en/inflatableboats/yamaha/yamaha-yam310taf/detail/516971/
84,529354,Germany,USED BOAT,Hunter 38,Hunter,2005,sailingboats,Sailing Yacht,GRP,11.63,3.94,1.55,1,40.0,29.0,92000.0,https://www.boat24.com/en/sailingboats/hunter/hunter-38/detail/529354/
86,533212,Italy,NEW BOAT,Marex 375,Marex,2023,powerboats,Hardtop,GRP,12.05,3.55,1.05,2,300.0,221.0,79000.0,https://www.boat24.com/en/powerboats/marex/marex-375/detail/533212/
88,538103,Spain,USED BOAT,Moody MKII,Moody,1979,sailingboats,Cruising Yacht,GRP,12.8,4.0,1.7,1,72.0,53.0,79000.0,https://www.boat24.com/en/sailingboats/moody/moody-mkii/detail/538103/
90,543190,Italy,USED BOAT,Mochi Craft MOCHI 40 EUROPA,Mochi,1991,powerboats,Flybridge,GRP,11.64,4.09,1.0,2,380.0,279.0,79000.0,https://www.boat24.com/en/powerboats/mochi-craft/mochi-craft-mochi-40-europa/detail/543190/
92,299430,Croatia,USED BOAT,nan,nan,1979,powerboats,Motor Yacht,GRP,11.0,3.78,1.15,2,180.0,132.0,29000.0,https://www.boat24.com/en/powerboats/princess/princess-37/detail/299430/
94,462767,Germany,NEW BOAT,Grandezza 34 OC,Grandezza,2023,powerboats,Motor Yacht,GRP,10.03,3.23,1.2,1,380.0,279.0,376536.0,https://www.boat24.com/en/powerboats/grandezza/grandezza-34-oc/detail/462767/
96,526745,Italy,USED BOAT,Jeanneau Sun Odyssey 45,Jeanneau,2007,sailingboats,Sailing Yacht,GRP,13.72,4.37,2.05,1,75.0,55.0,99900.0,https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-sun-odyssey-45/detail/526745/
99,542589,Germany,USED BOAT,Bluestar HOLIDAY,Bluestar,2010,powerboats,Cabin Cruiser,GRP,6.92,2.49,0.53,1,170.0,125.0,23200.0,https://www.boat24.com/en/powerboats/bluestar/bluestar-holiday/detail/542589/
100,509575,Germany,NEW BOAT,Jeanneau Merry Fisher 695 s2,Jeanneau,2023,powerboats,Cabin Cruiser,GRP,7.45,2.54,0.5,1,175.0,129.0,99900.0,https://www.boat24.com/en/powerboats/jeanneau/jeanneau-merry-fisher-695-s2/detail/509575/
102,545035,Germany,USED BOAT,LM 81 in Flensburg,LM,1984,sailingboats,Sailing Yacht,GRP,8.1,2.95,1.25,1,18.0,13.0,9900.0,https://www.boat24.com/en/sailingboats/lm/lm-81-in-flensburg/detail/545035/
107,491739,Germany,NEW BOAT,Karnic SL652,Karnic,2022,powerboats,Sport Boat,GRP,7.15,2.45,0.34,1,200.0,147.0,61234.0,https://www.boat24.com/en/powerboats/karnic/karnic-sl652/detail/491739/
114,515400,Netherlands,USED BOAT,Klipper/ Varend Woonschip 30.00 X 6.00 M,Klipper/,1919,powerboats,Trawler,Steel,30.0,6.0,1.05,1,230.0,169.0,117500.0,https://www.boat24.com/en/powerboats/klipper-varend-woonschip-3000-x-600-m/detail/515400/
116,514881,Croatia,USED BOAT,nan,nan,2008,sailingboats,Sailing Yacht,Aluminium,15.97,4.47,1.0,2,49.0,36.0,397000.0,https://www.boat24.com/en/sailingboats/reinke/reinke-15m/detail/514881/
120,544424,Germany,USED BOAT,Dehler 38 Kurzkiel,Dehler,2016,sailingboats,Sailing Yacht,GRP,11.3,3.75,2.0,1,28.0,21.0,169000.0,https://www.boat24.com/en/sailingboats/dehler/dehler-38-kurzkiel/detail/544424/
121,510533,Greece,USED BOAT,Nordia 49 Cruiser,Nordia,1990,sailingboats,Sailing Yacht,Aluminium,14.9,4.6,1.8,1,90.0,66.0,235000.0,https://www.boat24.com/en/sailingboats/nordia/nordia-49-cruiser/detail/510533/
123,527425,Bahamas,USED BOAT,Leopard 43 Powercat,Leopard,2018,powerboats,Power Catamaran,GRP,13.11,6.73,0.94,2,320.0,235.0,469200.0,https://www.boat24.com/en/powerboats/leopard/leopard-43-powercat/detail/527425/
128,545533,Germany,USED BOAT,nan,nan,2005,powerboats,Sport Boat,GRP,7.0,2.59,0.85,1,260.0,191.0,35900.0,https://www.boat24.com/en/powerboats/sea-ray-220-sse/detail/545533/
136,538305,Germany,USED BOAT,Cornish Crabbers Cornish Crabber 22,Cornish,2002,sailingboats,Classic Sailing Yacht,GRP,8.2,2.5,1.5,1,19.0,14.0,26000.0,https://www.boat24.com/en/sailingboats/cornish-crabbers/cornish-crabbers-cornish-crabber-22/detail/538305/
